GNN,STR,NDC
CLOBETASOL PROPIONATE,0.05 %,50383097904
HYDRALAZINE HCL,25 MG,75834012601
ALBENDAZOLE,200 MG,69097023772
PIOGLITAZONE HCL,15 MG,57237021905
METFORMIN HCL,1000 MG,69367018205
CARBIDOPA,25 MG,43386098001
TRAZODONE HCL,150 MG,16729030116
HYDROXYZINE PAMOATE,25 MG,42291040650
METOPROLOL SUCCINATE,50 MG,16714085301
CYANOCOBALAMIN (VITAMIN B-12),500 MCG,77333093710
CEPHALEXIN,250 MG/5ML,24979015514
"SYRINGE-NEEDLE,INSULIN,0.5 ML","30 GX5/16""",68196305601
CICLESONIDE,37 MCG,70515073760
CANNABIDIOL (CBD) EXTRACT,100 MG/ML,70127010010
PRIMIDONE,50 MG,68682069110
"INTERFERON GAMMA-1B,RECOMB.",100MCG/0.5,75987011111
LEVOTHYROXINE SODIUM,175 MCG,60846081001
LIDOCAINE HCL,10 MG/ML,00143957701
MORPHINE SULFATE,2 MG/ML,76045000410
"FOLIC ACID/MV,IRON,MIN/LUTEIN",0.4-18-250,37864000043
MULTIVIT-MINS60/IRON FUM/FOLIC,27 MG-1 MG,75834005001
CANDESARTAN CILEXETIL,32 MG,62559064330
KETOROLAC TROMETHAMINE,15 MG/ML,76045010710
GUAIFENESIN/DEXTROMETHORPHAN,400MG-20MG,50804010930
ACETAMINOPHEN,650 MG,00113054478
MEMANTINE HCL,5 MG,00904650506
ALCOHOL ANTISEPTIC PADS,,67777012116
CLOPIDOGREL BISULFATE,75 MG,71399750005
"SYRGE-NDL,INS 0.3 ML HALF MARK","31 GX5/16""",08317260311
MORPHINE SULFATE,60 MG,69344031111
NICOTINE,7MG/24HR,70677003001
PROPRANOLOL HCL,80 MG,62559060030
SILODOSIN,8 MG,00781262492
AMINOCAPROIC ACID,500 MG,69680011530
CAFFEINE CITRATE,60 MG/3 ML,25021060203
SELENIUM,200 MCG,54629016300
ARIPIPRAZOLE,30 MG,43547030703
FENTANYL,75MCG/HR,51862031678
MIGLUSTAT,100 MG,43975031083
CLOBETASOL PROPIONATE,0.05 %,43386009660
MICONAZOLE NITRATE,1200MG-2%,37205064003
APREPITANT,80 MG,68462058458
ERTUGLIFLOZIN PIDOLATE,5 MG,00006536307
GABAPENTIN,400 MG,51407004990
PHENYTOIN SODIUM EXTENDED,100 MG,54569016100
GUAIFEN/DEXTROMETHORPHAN/PE,100-10-5MG,70000013301
IPRATROPIUM/ALBUTEROL SULFATE,0.5-3MG/3,60429097530
DESOG-E.ESTRADIOL/E.ESTRADIOL,21-5 (28),00603751217
UBIDECARENONE,50 MG,31604002848
DICLOFENAC SODIUM,75 MG,61145010206
HYDROCODONE/ACETAMINOPHEN,5 MG-300MG,00074304113
NORETHINDRONE-ETHINYL ESTRAD,0.5-0.035,51862031803
DESMOPRESSIN ACETATE,4 MCG/ML,00075245153
"SYRINGE-NEEDLE,INSULIN,0.5 ML","31GX3/8""",08970100864
PANTOPRAZOLE SODIUM,40 MG,68645049254
DOXYCYCLINE HYCLATE,20 MG,54879002501
LEVOFLOXACIN IN DEXTROSE 5 %,500MG/0.1L,25021013282
ACETAMINOPHEN,650 MG,46122006271
INSULIN LISPRO,100/ML,00002771459
EMOLLIENT BASE,,45334030004
L.ACIDOPH/L.BULG/B.BIF/S.THERM,1B-250 MG,63736010504
HYDROCORTISONE,1 %,74300000391
IMMUNE GLOBUL G/GLY/IGA AVG 46,5 G/50 ML,13533080021
FOSPHENYTOIN SODIUM,500 PE/10,00069600110
SARILUMAB,200MG/1.14,00024592201
ADALIMUMAB,40MG/0.4ML,00074024302
VENLAFAXINE HCL,75 MG,47335075983
GLYCERIN,5.4G/5.4ML,00132018582
CLOBETASOL PROPIONATE,0.05 %,51672137108
"SYRING-NEEDL,DISP,INSUL,0.3 ML","30 GX5/16""",94046000166
QUETIAPINE FUMARATE,25 MG,51407006610
PSYLLIUM HUSK,0.52G,50428041152
CALCIUM CARBONATE/VITAMIN D3,500 MG-200,16103036111
CARVEDILOL,6.25 MG,10135063401
SELEGILINE,12MG/24HR,49502090201
METYRAPONE,250 MG,76336045518
SILDENAFIL CITRATE,100 MG,00069422033
TINIDAZOLE,250 MG,64980042602
CAL CIT/MAG/D3/ZN/COP/MANG/BOR,250-40-125,16500053507
DOCUSATE SODIUM,100 MG,11822003960
PYRIDOXINE HCL (VITAMIN B6),100 MG,96295012780
ASCORBIC ACID,1000 MG,11822880230
"C1 ESTERASE INHIBITOR, RECOMB",2100 UNIT,71274035002
CLOPIDOGREL BISULFATE,300 MG,69367019430
NORETHINDRONE-E.ESTRADIOL-IRON,1MG-20(21),50102022823
NICOTINE,21 MG/24HR,00536589653
GABAPENTIN,300 MG,42291030150
ACETAMINOPHEN/CAFFEINE,500MG-65MG,00067204591
HYDROCODONE/ACETAMINOPHEN,5 MG-325MG,00527164905
DONEPEZIL HCL,5 MG,60687029211
CAPTOPRIL,25 MG,60687031521
CARBAMIDE PEROXIDE,6.5 %,11917005135
SENNOSIDES/DOCUSATE SODIUM,8.6MG-50MG,07610035920
IMIQUIMOD,3.75 %,68682027275
OLARATUMAB,190MG/19ML,00002719001
PIPERACILLIN SODIUM/TAZOBACTAM,2.25 G,64679003402
CARVEDILOL,6.25 MG,51407004001
CYANOCOBALAMIN/FOLIC AC/VIT B6,0.5-2.2-25,51991025201
ACETAMINOPHEN/D-BROMPHENIRAMIN,500MG-1MG,54859001001
NICOTINE POLACRILEX,4 MG,11822573290
GABAPENTIN,100 MG,51407004790
SODIUM CHLORIDE,1000 MG,70795112000
"SYRING-NEEDL,DISP,INSUL,0.3 ML","30 GX5/16""",38396041437
,,47469006211
ERTUGLIFLOZIN PIDOLATE,15 MG,00006536406
ROPINIROLE HCL,5 MG,16729023801
CETIRIZINE HCL,5 MG,00179830201
AMLODIPINE BESYLATE,10 MG,69150011501
ERTUGLIFLOZIN/SITAGLIPTIN,5 MG-100MG,00006536703
"SYRING-NEEDL,DISP,INSUL,0.3 ML","30 GX5/16""",08881600800
"ESMOLOL IN SODIUM CHLORIDE,ISO",2.5G/250ML,10019005561
EPOETIN ALFA-EPBX,10000/ML,00069130801
SENNOSIDES/DOCUSATE SODIUM,8.6MG-50MG,87701042757
ACETAMINOPHEN,500 MG,59779048478
TAMOXIFEN CITRATE,20 MG,60429091030
CETIRIZINE HCL,10 MG,00904671786
DEXAMETHASONE SODIUM PHOSPHATE,4 MG/ML,63323016526
ACETAMINOPHEN,650 MG,62011033701
"PEN NEEDLE, DIABETIC","32 GX5/16""",28465004505
FLUORIDE (SODIUM),0.5 MG/ML,58657032250
QUETIAPINE FUMARATE,25 MG,60687032711
PHENOBARBITAL,97.2MG,69336011810
CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,31604002717
"PEN NEEDLE, DIABETIC","29 G X1/2""",08489830810
DEXTROSE 5 % IN WATER,5 %,63323062410
DOCETAXEL,20MG/ML(1),00409036601
SIMVASTATIN,40 MG,50268071511
COMPOUNDING VEHICLE SUSP NO.7,,38779251008
RIVASTIGMINE,13.3MG/24H,47781040511
ASCORBIC ACID,500 MG,74312003880
ESZOPICLONE,2 MG,60429063301
AMINO AC/PROTEIN HYDR/WHEY PRO,16 G-90/30,82028000687
BISMUTH SUBSALICYLATE,525MG/15ML,62011027901
PRAMOXINE/CAMPHOR/OATMEAL/CALA,,08137003690
HYDROCODONE/ACETAMINOPHEN,5 MG-325MG,54569552300
"SODIUM PHOSPHATE,MONO-DIBASIC",19G-7G/118,49348018614
PHENOBARBITAL,15 MG,75826013610
MENTHOL,5.8 MG,70000029001
BUSPIRONE HCL,30 MG,42291017750
CASTOR OIL,100 %,00395051592
NAPROXEN SODIUM,220 MG,41163051171
LEVOTHYROXINE SODIUM,112 MCG,55466010911
OSELTAMIVIR PHOSPHATE,75 MG,53002138701
FENOFIBRATE NANOCRYSTALLIZED,145 MG,16714073801
LEVOTHYROXINE SODIUM,100 MCG,68180096903
SUMATRIPTAN SUCCINATE,25 MG,16714079601
RANOLAZINE,500 MG,27241012502
METFORMIN HCL,500 MG,42385090410
FENOFIBRATE NANOCRYSTALLIZED,145 MG,68180036109
TADALAFIL,20 MG,00378697691
BENAZEPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,00574022901
SOLIFENACIN SUCCINATE,5 MG,69097025902
INSULIN DEGLUDEC,100/ML,00169266211
PREGABALIN,150 MG,00093762698
PREGABALIN,75 MG,69097095605
CLONAZEPAM,1 MG,00093321205
GLIPIZIDE,5 MG,59651026901
THIOTHIXENE,5 MG,70954001610
PREGABALIN,50 MG,64980041109
LEVONORGESTREL/ETHIN.ESTRADIOL,0.1-0.02MG,68180085413
PREGABALIN,300 MG,69238131709
GUANFACINE HCL,2 MG,42806029601
HYDROCODONE/ACETAMINOPHEN,10MG-325MG,31722094305
HALOBETASOL PROPIONATE,0.05 %,70512003350
METFORMIN HCL,1000 MG,50228010705
NORETHINDRONE-ETHIN. ESTRADIOL,0.4-0.035,00555903458
ETHINYL ESTRADIOL/DROSPIRENONE,0.02-3(28),68180088613
OXYCODONE HCL/ACETAMINOPHEN,7.5-325 MG,31722095005
METFORMIN HCL,1000 MG,50228010701
ATENOLOL/CHLORTHALIDONE,100MG-25MG,70710116801
CHOLECALCIFEROL (VITAMIN D3),50 MCG,09046015760
VANCOMYCIN HCL,25 MG/ML,65628020510
PNV 119/IRON FUM/FOLIC ACID,29 MG-1 MG,13925011601
TRETINOIN,0.025 %,00378808245
AMLODIPINE/VALSARTAN/HCTHIAZID,5-160-12.5,65862083430
GLUCAGON,3 MG,00002614511
CYANOCOBALAMIN (VITAMIN B-12),1000MCG/ML,69680011225
THIOTHIXENE,10 MG,70954001710
BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,69367020305
FLUOCINONIDE,0.05 %,70710128403
LIPASE/PROTEASE/AMYLASE,2.6 K-6.2K,62541040110
URSODIOL,300 MG,00023614501
HYDROCODONE/ACETAMINOPHEN,7.5-325 MG,00254203501
AMANTADINE HCL,129 MG,68025007590
IMATINIB MESYLATE,400 MG,67877063430
ESTRADIOL,0.05MG/24H,65162099308
LANREOTIDE ACETATE,120MG/0.5,15054112004
GABAPENTIN,800 MG,51224012160
"PEN NEEDLE, DIABETIC","32 GX3/16""",72217000605
AVATROMBOPAG MALEATE,20 MG,71369002030
LEVOTHYROXINE SODIUM,150 MCG/ML,71858015005
OXYCODONE HCL,5 MG,00904696661
METOPROLOL SUCCINATE,25 MG,68382056410
BENZOCAINE/MENTH/CETYLPYRD CL,15 MG-2 MG,11509020440
CEFIXIME,400 MG,68180041608
PREGABALIN,25 MG,67877046290
ALBENDAZOLE,200 MG,42799011002
RISEDRONATE SODIUM,150 MG,59762040603
"VITAMIN E (DL,TOCOPHERYL ACET)",400 UNIT,10006070034
METOPROLOL SUCCINATE,25 MG,24979003702
VANCOMYCIN HCL,50 MG/ML,62559083003
CHOLECALCIFEROL (VITAMIN D3),25 MCG,50428015144
PHENOBARBITAL,30 MG,50268065415
ALOSETRON HCL,1 MG,49884082011
LEVONORGESTREL/ETHIN.ESTRADIOL,6-5-10,00603762549
SUMATRIPTAN SUCC/NAPROXEN SOD,85MG-500MG,16714089101
MV-MINS 71/IRON/FOLIC NO.1/DHA,28-1-300MG,69543024330
LAMIVUDINE/ZIDOVUDINE,150-300 MG,00093538506
FLUOXETINE HCL,10 MG,50228042030
HYOSCYAMINE SULFATE,0.125 MG,70156010501
VANCOMYCIN HCL,50 MG/ML,62559083080
TADALAFIL,2.5 MG,13668056530
CINACALCET HCL,90 MG,00378619593
METHYL SALICYLATE/MENTH/CAMPH,30%-10%-4%,74300008193
CARBOXYMETHYLCELLULOSE SODIUM,0.5 %,69842073901
CALCIUM CARBONATE,200(500)MG,36800048547
SERTRALINE HCL,100 MG,59762516002
CLADRIBINE,10 MG,44087400006
0.9 % SODIUM CHLORIDE,0.9 %,63323062375
VENLAFAXINE HCL,75 MG,16714090402
CHOLECALCIFEROL (VITAMIN D3),50 MCG,11917012698
CHOLECALCIFEROL (VITAMIN D3),25 MCG,11917007630
,,30768013338
HALOPERIDOL DECANOATE,100 MG/ML,00703713301
CLONAZEPAM,0.25 MG,62332036506
METRONIDAZOLE,500 MG,60687042401
POVIDONE-IODINE,10 %,67618015004
MORPHINE SULFATE,100 MG,00023601860
PREDNISONE,5 MG,70954005820
CHOLECALCIFEROL (VITAMIN D3),25 MCG,05388000924
AZACITIDINE,100 MG,72485020101
HALOPERIDOL DECANOATE,50 MG/ML,70069038101
NADOLOL,80 MG,76385013501
"HEPARIN SODIUM,PORCINE",1000/ML,67457037212
DOXYLAMINE SUCCINATE,25 MG,41167000607
BLOOD SUGAR DIAGNOSTIC,,08317572050
"SYRINGE-NEEDLE,INSULIN,0.5 ML","30 GX5/16""",57513000650
OLMESARTAN MEDOXOMIL,5 MG,42291054230
AMPICILLIN SODIUM,1 G,70860011415
LEUCOVORIN CALCIUM,25 MG,00904670310
RISPERIDONE,1 MG,50268069611
ETHINYL ESTRADIOL/DROSPIRENONE,0.02-3(28),68180088611
MAGNESIUM HYDROXIDE,400 MG/5ML,46122043540
ACETAMINOPHEN,500 MG,59779048471
LEVOMEFOLATE/B6/B12/ALGAL OIL,3-35-2 MG,76439040390
LINEZOLID IN DEXTROSE 5%,600MG/300,67457084330
VITAMIN A,8000 UNIT,50428033650
ASPIRIN,81 MG,00363043929
SODIUM CHLORIDE,0.65 %,11917003728
MICONAZOLE NITRATE,2 %,10939038033
LEVONORGESTREL/ETHIN.ESTRADIOL,0.1-0.02MG,00378728785
ARMODAFINIL,150 MG,68180057102
CARBIDOPA/LEVODOPA,25MG-250MG,51862085805
CETIRIZINE HCL/PSEUDOEPHEDRINE,5 MG-120MG,00363092962
BUPROPION HCL,150 MG,51407020605
NORGESTIMATE-ETHINYL ESTRADIOL,0.25-0.035,65862077628
LOPERAMIDE HCL/SIMETHICONE,2-125MG,50580033812
MICONAZOLE NITRATE,2 %,59779073041
FERROUS SULFATE,140(45)MG,10006073013
PROPAFENONE HCL,225 MG,60687018533
BUPIVACAINE HCL,2.5 MG/ML,55150024950
ELECTROLYTES/DEXTROSE,,00074024001
BETHANECHOL CHLORIDE,25 MG,10135051701
ERGOCALCIFEROL (VITAMIN D2),200 MCG/ML,47781064726
FOLIC ACID/VIT B COMPLEX AND C,0.8 MG,69618000701
OXYBUTYNIN CHLORIDE,5 MG,51407009905
"HEPARIN SODIUM,PORCINE/NS/PF",2K/1000ML,00338043304
ATOMOXETINE HCL,25 MG,51407010230
CETIRIZINE HCL,10 MG,00904671761
"PEN NEEDLE, DIABETIC","31 GX5/16""",86227099105
CEFTRIAXONE SODIUM,1 G,00409733311
CHOLECALCIFEROL (VITAMIN D3),100 MCG,52569013401
"PETROLATUM,WHITE",,50428031702
POLYETHYLENE GLYCOL 3350,17G,51079030601
ACETAMINOPHEN,500 MG,59779053108
SERTRALINE HCL,100 MG,63187021230
GALCANEZUMAB-GNLM,300MG/3ML,00002311501
SERTRALINE HCL,25 MG,59762634701
MAGNESIUM OXIDE,400 MG,81131007179
BEVACIZUMAB-AWWB,25 MG/ML,55513020601
,,86800087260
FOLIC ACID/VIT B COMPLEX AND C,400 MCG,50428037587
GENTAMICIN SULFATE,0.1 %,52565008530
FEXOFENADINE HCL,180 MG,70000036102
NUT.TX.IMPAIRED DIGESTIVE FXN,0.035-1/ML,70074056641
LEVONORGESTREL/ETHIN.ESTRADIOL,0.1-0.02MG,68180085411
DEFERASIROX,500 MG,62756057083
AZITHROMYCIN,500 MG,51224012209
PROPRANOLOL HCL,20 MG,00904670561
ACETAMINOPHEN,160 MG/5ML,46122021226
PHENYLEPHRINE HCL,0.5 %,69536005015
BACLOFEN,10 MG,10135053201
DILTIAZEM HCL,300 MG,63304072105
MULTIVITAMIN WITH MINERALS,,11822371310
PSYLLIUM HUSK,3.4 G/5.4G,37000074117
ACETAMINOPHEN,325 MG,10135012370
FILGRASTIM-AAFI,300 MCG/ML,00069029310
CHOLECALCIFEROL (VITAMIN D3),25 MCG,31604002706
PEG 400/HYPROMELLOSE/GLYCERIN,1-0.2-0.2%,57896018105
BUPROPION HCL,75 MG,00904663561
ASPIRIN/ACETAMINOPHEN/CAFFEINE,250-250-65,59779037462
ATENOLOL,50 MG,55289022803
HALCINONIDE,0.1 %,10631009671
SALICYLIC ACID,17 %,11917014790
VIT A/VIT C/VIT E/ZINC/COPPER,14320-226,96295012874
GINKGO BILOBA,120 MG,49348001409
SUCRALFATE,1 G/10 ML,00254101196
HYDROCORTISONE,2.5 %,69315031228
OMEGA-3 ACID ETHYL ESTERS,1 G,42806055212
BACLOFEN,10 MG,29300034310
FLUOXETINE HCL,40 MG,69367023701
CIPROFLOXACIN HCL/DEXAMETH,0.3 %-0.1%,00781618667
ATORVASTATIN CALCIUM,10 MG,42571017210
DICLOFENAC EPOLAMINE,1.3 %,00093372755
CLOBETASOL PROPIONATE,0.05 %,62332054760
TRAZODONE HCL,50 MG,50111056001
,,11917019900
APREMILAST,30 MG,55513013760
RABEPRAZOLE SODIUM,20 MG,65862072130
OLMESARTAN/HYDROCHLOROTHIAZIDE,40-12.5 MG,70756081390
DULOXETINE HCL,20 MG,68001041306
TESTOSTERONE,20.25/1.25,16714096701
ALPRAZOLAM,0.5 MG,65862067701
ZANUBRUTINIB,80 MG,72579001102
PAROXETINE HCL,25 MG,60505131703
MEPERIDINE HCL,50 MG,42806005030
ALPRAZOLAM,0.25 MG,65862067601
FENOFIBRATE,160 MG,42385093690
OLMESARTAN/HYDROCHLOROTHIAZIDE,20-12.5 MG,70756081290
GABAPENTIN,800 MG,68001041200
ATENOLOL,25 MG,29300041005
BUDESONIDE/GLYCOPYR/FORMOTEROL,160-9-4.8,00310461612
FLUOXETINE HCL,20 MG,16714011302
DOXEPIN HCL,3 MG,00378481093
DESONIDE,0.05 %,24470092060
VITAMIN D3/VITAMIN K2 (MK4),1000-100,11845016261
LACTOBACIL 2-S.THERMO-BIFIDO 1,112.5B,71351001760
FLUVOXAMINE MALEATE,25 MG,00832167011
CALCIPOTRIENE/BETAMETHASONE,0.005-.064,66993093865
BISOPROLOL/HYDROCHLOROTHIAZIDE,2.5-6.25MG,42799092002
DEXTROAMPHETAMINE/AMPHETAMINE,15 MG,43975027910
BUPROPION HCL,300 MG,50228014530
DOXEPIN HCL,6 MG,44183010630
TOLTERODINE TARTRATE,1 MG,29300023916
HYDROCORTISONE,20 MG,64380097206
METFORMIN HCL,500 MG,68462052001
ENOXAPARIN SODIUM,80MG/0.8ML,71288041087
AMLODIPINE BES/OLMESARTAN MED,10 MG-40MG,68462056990
FOLIC ACID,1 MG,11788000101
MEMANTINE HCL,5 MG,72606051402
POLYETHYLENE GLYCOL 3350,17 G/DOSE,00113030603
EMPAGLIFLOZ/LINAGLIP/METFORMIN,12.5-2.5MG,00597038586
ESTRADIOL,0.05MG/24H,00023588615
PSYLLIUM HUSK/ASPARTAME,3 G/5.8 G,80681004201
DEXTROAMPHETAMINE/AMPHETAMINE,15 MG,43975033310
BOSENTAN,125 MG,47335003986
OCTREOTIDE ACETATE,2500MCG/ML,62756045236
"SYRING-NEEDL,DISP,INSUL,0.3 ML","31GX15/64""",90166031645
TRIENTINE HCL,250 MG,49884006001
FERROUS SULFATE,325(65) MG,10006073030
LACTULOSE,10 G/15 ML,13668058012
TAMSULOSIN HCL,0.4 MG,50268074011
ZILEUTON,600 MG,68180016916
PHENOBARBITAL,30 MG,00143150001
"PEN NEEDLE, DIABETIC","34 GX9/64""",08489791410
ISOSORBIDE DINITRATE,5 MG,68682019301
CALCIUM CARB/D3/MAGNESIUM/ZINC,333 MG-200,31604001893
LAPATINIB DITOSYLATE,250 MG,68180080136
ENOXAPARIN SODIUM,120MG/.8ML,71288041181
ZIPRASIDONE MESYLATE,FNL 20MG/1,72266016010
LEVOTHYROXINE SODIUM,112 MCG,00904695461
NORTRIPTYLINE HCL,25 MG,51862094605
CHLORZOXAZONE,750 MG,51862034001
SELENIUM,200 MCG,40093010287
CIPROFLOXACIN HCL,250 MG,60687052801
LAMOTRIGINE,200 MG,68382098206
PANTOPRAZOLE SODIUM,20 MG,51407024990
ENOXAPARIN SODIUM,120MG/.8ML,63323060990
MICONAZOLE NITRATE,200 MG-2 %,63736044305
ABIRATERONE ACETATE,250 MG,60687045521
ESOMEPRAZOLE MAGNESIUM,40 MG,16714098001
TACROLIMUS,1 MG,42291075301
SOAP,,11917009096
"PEN NEEDLE, DIABETIC,DISP UNIT","32 GX 1/4""",57515004562
OCTREOTIDE ACETATE,500 MCG/ML,00641617601
FENOFIBRATE,54 MG,51407009390
B-COMPLEX WITH VITAMIN C,,80681012600
CEFDINIR,125 MG/5ML,68180072204
CLOMIPRAMINE HCL,75 MG,52817028210
NICOTINE,14MG/24HR,00536589571
ROPINIROLE HCL,3 MG,60429082101
,,41167005970
METHYLPREDNISOLONE,4 MG,00904691461
BENZOYL PEROXIDE,5 %,24470090004
EPINEPHRINE,0.15MG/0.3,00781344820
FLUOROURACIL,5 G/100 ML,25021021599
"DIAPER,BRIEF,ADULT, DISPOSABLE",,50428042417
MV-MN/FOLIC ACID/VIT K/HERB289,800-100MCG,33674015692
NAPHAZOLINE HCL/GLYCERIN,0.012-0.25,78112025415
CIPROFLOXACIN HCL,500 MG,43063054701
ELTROMBOPAG OLAMINE,25 MG,00078069761
LOXAPINE SUCCINATE,50 MG,10135058801
GUAIFENESIN/DEXTROMETHORPHAN,100-5 MG/5,70000038702
SUMATRIPTAN SUCCINATE,100 MG,42043022209
NYSTATIN,100000/ML,00121086840
CA/D3/MAG OX/ZINC/COP/MANG/BOR,600 MG-20,40985027498
CHLOROPROCAINE HCL/PF,20 MG/ML,63323047727
LORATADINE,10 MG,59779061288
MAG HYDROX/ALUMINUM HYD/SIMETH,200-200-20,00904683873
CALCIUM CARBONATE/VITAMIN D3,600 MG-200,57896074706
"VITAMIN E (DL,TOCOPHERYL ACET)",450 MG,50428043890
FUROSEMIDE,40 MG,72789003230
ACETAZOLAMIDE SODIUM,500 MG,67457085350
"CONTAINER,EMPTY",,08080850700
CALAMINE/MENTHOL/PETROLAT/ZINC,3.5%-0.2%,80196030615
CYANOCOBALAMIN (VITAMIN B-12),2000 MCG,11917017065
INDOMETHACIN,75 MG,55289046910
POVIDONE-IODINE,10 %,67618015005
,,00761015724
VALSARTAN/HYDROCHLOROTHIAZIDE,160MG-25MG,43547031309
GUAIFENESIN/DEXTROMETHORPHAN,50-5MG/5ML,00031875912
GABAPENTIN,300 MG,71610018892
CHOLECALCIFEROL (VITAMIN D3),25 MCG,37205024897
HYDROCORTISONE,10 MG,72789009401
SPIRONOLACTONE,25 MG,60687046511
TEMOZOLOMIDE,250 MG,43975025705
TOPIRAMATE,25 MG,76282027860
FAMOTIDINE,20 MG,43063069530
ENOXAPARIN SODIUM,100 MG/ML,16714004601
CALCIUM CITRATE/VITAMIN D3,200MG-6.25,50428829923
HYDROXYZINE HCL,50 MG/25ML,00121482225
ANASTROZOLE,1 MG,42291008590
LACTOSE-REDUCED FOOD,,70074066893
THIAMINE HCL,100 MG,10135013210
MINERAL OIL,,87701041267
PROTRIPTYLINE HCL,10 MG,42806009730
BETA-CAROTENE,25000 UNIT,40093010599
LABETALOL HCL,300 MG,68001038300
BUMETANIDE,1 MG,60687038425
NYSTATIN/TRIAMCIN,100000-0.1,00316022330
ACETAMINOPHEN,325 MG,50580048790
LIDOCAINE HCL/PF,5 MG/ML,00409427816
BISACODYL,5 MG,00904674817
NAPROXEN,500 MG,50228043605
DOXEPIN HCL,50 MG,27241016901
IBUPROFEN,600 MG,11788000905
METHOCARBAMOL,750 MG,35561021113
CALCIUM CITRATE/VITAMIN D3,315MG-5MCG,49348032412
CYANOCOBALAMIN (VITAMIN B-12),1000MCG/ML,69680011210
EPOETIN ALFA-EPBX,2000/ML,00069130501
MULTIVIT-MIN/FA/LYCOPEN/LUTEIN,.4-300-250,96295012838
PSYLLIUM HUSK (WITH SUGAR),3.4 G/7 G,37000074044
DOXEPIN HCL,10 MG,60429096610
ASPIRIN/ACETAMINOPHEN/CAFFEINE,250-250-65,70000014601
CAPTOPRIL,12.5 MG,69292052210
GLUCOSAMINE/CHONDR SU A SOD,750-600 MG,11917009131
UBIDECARENONE,100 MG,31604002613
IBUPROFEN,200 MG,49348072709
,,49035025478
"CONTAINER,EMPTY",,08290305487
NAPROXEN,250 MG,69150013814
SALICYLIC ACID,17 %,11822011391
"PEN NEEDLE, DIABETIC","31 GX3/16""",28465004525
FOSPHENYTOIN SODIUM,100MG PE/2,00069547102
METHYLPHENIDATE HCL,40 MG,42858007945
SODIUM BICARBONATE,650 MG,10135068510
COLCHICINE,0.6 MG,13310011907
MECLIZINE HCL,12.5 MG,49884003410
CLOPIDOGREL BISULFATE,75 MG,63653117101
MEDROXYPROGESTERONE ACET,150 MG/ML,59762453801
ERYTHROMYCIN BASE,333 MG,00074632013
FLUTICASONE PROPIONATE,50 MCG,00054327099
FUROSEMIDE,20 MG,63304062410
SOLIFENACIN SUCCINATE,5 MG,51248015001
CITALOPRAM HYDROBROMIDE,40 MG,59762480201
NYSTATIN,100000/G,51672128902
BETHANECHOL CHLORIDE,25 MG,65162057310
ZOSTER VACCINE LIVE/PF,19400 UNIT,00006496300
"ESTROGENS,CONJUGATED",0.3 MG,00046110081
VENLAFAXINE HCL,100 MG,68382010101
RALOXIFENE HCL,60 MG,00002416530
METOPROLOL SUCCINATE,25 MG,62037083001
ALBUTEROL SULFATE,90 MCG,00085113201
NIACIN/SIMVASTATIN,1000-20MG,00074345590
TRIAMTERENE/HYDROCHLOROTHIAZID,37.5-25 MG,00378135205
OXYCODONE HCL/ACETAMINOPHEN,5MG-325MG,00591074905
LEVOFLOXACIN,250 MG,64679054402
SILODOSIN,8 MG,52544015230
SPIRONOLACTONE,25 MG,00378214601
CLOZAPINE,100 MG,00378086001
ALENDRONATE SODIUM,35 MG,16252059944
DEXTROAMPHETAMINE SULFATE,10 MG,00555095302
PRAVASTATIN SODIUM,20 MG,68382007116
QUINAPRIL HCL,10 MG,68180055709
SERTRALINE HCL,50 MG,31722021305
LEVOTHYROXINE SODIUM,25 MCG,00527134110
SIMVASTATIN,20 MG,16729000517
METHOTREXATE SODIUM,2.5 MG,00054455025
FLUOCINONIDE,0.05 %,00093026492
CHLORAL HYDRATE,500 MG,51991008051
PANTOPRAZOLE SODIUM,20 MG,13668009690
LEVOTHYROXINE SODIUM,175MCG,00456132601
METOCLOPRAMIDE HCL,10 MG,00591222901
LISINOPRIL,5 MG,68180051301
AZITHROMYCIN,500 MG,00781194133
QUETIAPINE FUMARATE,50 MG,00310027810
NIFEDIPINE,60 MG,00378348201
LOSARTAN POTASSIUM,50 MG,16714058202
MOEXIPRIL/HYDROCHLOROTHIAZIDE,15-25MG,00574013501
AMPHET ASP/AMPHET/D-AMPHET,10 MG,64720013210
PRAMIPEXOLE DI-HCL,1.5 MG,13668009590
RAMIPRIL,2.5 MG,68180058901
CYCLOBENZAPRINE HCL,5 MG,00378077101
SCOPOLAMINE HYDROBROMIDE,1.5MG/72HR,00067434504
CINACALCET HCL,90 MG,55513007530
LEVETIRACETAM,750 MG,00378561705
METRONIDAZOLE,0.75 %,66993093570
NYSTATIN,100000/G,67767011215
TERAZOSIN HCL,1 MG,00378226001
ROSIGLITAZONE MALEATE,4 MG,00029315913
FLUOXETINE HCL,20 MG/5 ML,00093610812
LANSOPRAZOLE,15 MG,00093735056
GLIMEPIRIDE,1 MG,00781504501
PHENYTOIN SODIUM EXTENDED,100 MG,64679072002
RUXOLITINIB PHOSPHATE,20 MG,50881002060
ACETAMINOPHEN,650 MG,37205047778
ZOLPIDEM TARTRATE,12.5 MG,00955170310
