"rxcui","in","str","unit"
"884203","chlorthalidone","15","MG"
"884203","clonidine","0.3","MG"
"315654","chlorthalidone","15","MG"
"315655","chlorthalidone","25","MG"
"317328","chlorthalidone","50","MG"
"331132","chlorthalidone","12.5","MG"
"197977","metolazone","0.5","MG"
"197978","metolazone","10","MG"
"197979","metolazone","2.5","MG"
"311671","metolazone","5","MG"
"316296","metolazone","0.5","MG"
"316297","metolazone","10","MG"
"316298","metolazone","2.5","MG"
"316299","metolazone","5","MG"
"104214","xipamide","20","MG"
"336866","xipamide","20","MG"
"199717","clopamide","5","MG"
"199717","pindolol","10","MG"
"331736","clopamide","5","MG"
"977880","amiloride","5","MG"
"977883","hydrochlorothiazide","50","MG"
"977883","amiloride","5","MG"
"977887","amiloride","1","MG"
"977890","furosemide","80","MG"
"977890","amiloride","10","MG"
"977907","cyclopenthiazide","0.25","MG"
"977907","amiloride","2.5","MG"
"977920","atenolol","50","MG"
"977920","hydrochlorothiazide","25","MG"
"977920","amiloride","2.5","MG"
"977945","furosemide","20","MG"
"977945","amiloride","2.5","MG"
"977949","timolol","10","MG"
"977949","hydrochlorothiazide","25","MG"
"977949","amiloride","2.5","MG"
"977950","hydrochlorothiazide","25","MG"
"977950","amiloride","2.5","MG"
"977951","bumetanide","1","MG"
"977951","amiloride","5","MG"
"977959","furosemide","40","MG"
"977959","amiloride","5","MG"
"977879","amiloride","5","MG"
"977886","amiloride","1","MG"
"977889","amiloride","10","MG"
"977891","amiloride","2.5","MG"
"1943345","spironolactone","5","MG"
"200817","spironolactone","50","MG"
"200820","spironolactone","25","MG"
"200825","spironolactone","100","MG"
"208112","hydrochlorothiazide","25","MG"
"208112","spironolactone","25","MG"
"208116","hydrochlorothiazide","50","MG"
"208116","spironolactone","50","MG"
"2566860","benazepril","2.5","MG"
"2566860","spironolactone","20","MG"
"2566864","benazepril","5","MG"
"2566864","spironolactone","40","MG"
"2566868","benazepril","10","MG"
"2566868","spironolactone","80","MG"
"1943341","spironolactone","5","MG"
"2566855","benazepril","2.5","MG"
"2566855","spironolactone","20","MG"
"2566863","benazepril","5","MG"
"2566863","spironolactone","40","MG"
"2566867","benazepril","10","MG"
"2566867","spironolactone","80","MG"
"565465","spironolactone","50","MG"
"565468","spironolactone","25","MG"
"565473","spironolactone","100","MG"
"568840","hydrochlorothiazide","25","MG"
"568840","spironolactone","25","MG"
"568844","hydrochlorothiazide","50","MG"
"568844","spironolactone","50","MG"
"104230","spironolactone","1","MG"
"104231","spironolactone","2","MG"
"104232","spironolactone","5","MG"
"104233","spironolactone","10","MG"
"198222","spironolactone","100","MG"
"198223","spironolactone","50","MG"
"198224","hydrochlorothiazide","25","MG"
"198224","spironolactone","25","MG"
"198225","hydrochlorothiazide","50","MG"
"198225","spironolactone","50","MG"
"246399","furosemide","20","MG"
"246399","spironolactone","50","MG"
"250376","hydroflumethiazide","25","MG"
"250376","spironolactone","25","MG"
"250377","hydroflumethiazide","50","MG"
"250377","spironolactone","50","MG"
"2566853","benazepril","2.5","MG"
"2566853","spironolactone","20","MG"
"2566862","benazepril","5","MG"
"2566862","spironolactone","40","MG"
"2566866","benazepril","10","MG"
"2566866","spironolactone","80","MG"
"313096","spironolactone","25","MG"
"2566847","spironolactone","20","MG"
"2566861","spironolactone","40","MG"
"2566865","spironolactone","80","MG"
"316727","spironolactone","100","MG"
"316728","spironolactone","25","MG"
"317508","spironolactone","50","MG"
"360518","spironolactone","1","MG"
"360519","spironolactone","2","MG"
"360520","spironolactone","5","MG"
"360521","spironolactone","10","MG"
"402105","eplerenone","50","MG"
"402106","eplerenone","25","MG"
"576107","eplerenone","50","MG"
"576108","eplerenone","25","MG"
"351256","eplerenone","25","MG"
"351257","eplerenone","50","MG"
"351258","eplerenone","100","MG"
"353386","eplerenone","25","MG"
"353387","eplerenone","50","MG"
"353388","eplerenone","100","MG"
"208124","triamterene","37.5","MG"
"208124","hydrochlorothiazide","25","MG"
"208674","triamterene","100","MG"
"208675","triamterene","50","MG"
"93252","triamterene","75","MG"
"93252","hydrochlorothiazide","50","MG"
"93253","triamterene","37.5","MG"
"93253","hydrochlorothiazide","25","MG"
"562901","triamterene","75","MG"
"562901","hydrochlorothiazide","50","MG"
"562902","triamterene","37.5","MG"
"562902","hydrochlorothiazide","25","MG"
"568851","triamterene","37.5","MG"
"568851","hydrochlorothiazide","25","MG"
"569337","triamterene","100","MG"
"569338","triamterene","50","MG"
"104245","triamterene","50","MG"
"104245","benzthiazide","25","MG"
"104248","triamterene","50","MG"
"104248","chlorthalidone","50","MG"
"198312","triamterene","100","MG"
"198313","triamterene","50","MG"
"198314","triamterene","50","MG"
"198314","hydrochlorothiazide","25","MG"
"198316","triamterene","37.5","MG"
"198316","hydrochlorothiazide","25","MG"
"250708","triamterene","50","MG"
"250708","furosemide","40","MG"
"310812","triamterene","37.5","MG"
"310812","hydrochlorothiazide","25","MG"
"310818","triamterene","75","MG"
"310818","hydrochlorothiazide","50","MG"
"314029","triamterene","50","MG"
"314029","hydrochlorothiazide","25","MG"
"316852","triamterene","100","MG"
"316853","triamterene","37.5","MG"
"316854","triamterene","50","MG"
"317670","triamterene","75","MG"
"402105","eplerenone","50","MG"
"402106","eplerenone","25","MG"
"576107","eplerenone","50","MG"
"576108","eplerenone","25","MG"
"351256","eplerenone","25","MG"
"351257","eplerenone","50","MG"
"351258","eplerenone","100","MG"
"353386","eplerenone","25","MG"
"353387","eplerenone","50","MG"
"353388","eplerenone","100","MG"
"1943345","spironolactone","5","MG"
"200817","spironolactone","50","MG"
"200820","spironolactone","25","MG"
"200825","spironolactone","100","MG"
"208112","hydrochlorothiazide","25","MG"
"208112","spironolactone","25","MG"
"208116","hydrochlorothiazide","50","MG"
"208116","spironolactone","50","MG"
"2566860","benazepril","2.5","MG"
"2566860","spironolactone","20","MG"
"2566864","benazepril","5","MG"
"2566864","spironolactone","40","MG"
"2566868","benazepril","10","MG"
"2566868","spironolactone","80","MG"
"1943341","spironolactone","5","MG"
"2566855","benazepril","2.5","MG"
"2566855","spironolactone","20","MG"
"2566863","benazepril","5","MG"
"2566863","spironolactone","40","MG"
"2566867","benazepril","10","MG"
"2566867","spironolactone","80","MG"
"565465","spironolactone","50","MG"
"565468","spironolactone","25","MG"
"565473","spironolactone","100","MG"
"568840","hydrochlorothiazide","25","MG"
"568840","spironolactone","25","MG"
"568844","hydrochlorothiazide","50","MG"
"568844","spironolactone","50","MG"
"104230","spironolactone","1","MG"
"104231","spironolactone","2","MG"
"104232","spironolactone","5","MG"
"104233","spironolactone","10","MG"
"198222","spironolactone","100","MG"
"198223","spironolactone","50","MG"
"198224","hydrochlorothiazide","25","MG"
"198224","spironolactone","25","MG"
"198225","hydrochlorothiazide","50","MG"
"198225","spironolactone","50","MG"
"246399","furosemide","20","MG"
"246399","spironolactone","50","MG"
"250376","hydroflumethiazide","25","MG"
"250376","spironolactone","25","MG"
"250377","hydroflumethiazide","50","MG"
"250377","spironolactone","50","MG"
"2566853","benazepril","2.5","MG"
"2566853","spironolactone","20","MG"
"2566862","benazepril","5","MG"
"2566862","spironolactone","40","MG"
"2566866","benazepril","10","MG"
"2566866","spironolactone","80","MG"
"313096","spironolactone","25","MG"
"2566847","spironolactone","20","MG"
"2566861","spironolactone","40","MG"
"2566865","spironolactone","80","MG"
"316727","spironolactone","100","MG"
"316728","spironolactone","25","MG"
"317508","spironolactone","50","MG"
"360518","spironolactone","1","MG"
"360519","spironolactone","2","MG"
"360520","spironolactone","5","MG"
"360521","spironolactone","10","MG"
"150750","atenolol","25","MG"
"152414","atenolol","50","MG"
"201322","atenolol","100","MG"
"746023","atenolol","100","MG"
"746023","chlorthalidone","25","MG"
"746030","atenolol","50","MG"
"746030","chlorthalidone","25","MG"
"564787","atenolol","25","MG"
"564981","atenolol","50","MG"
"565804","atenolol","100","MG"
"746021","atenolol","100","MG"
"746021","chlorthalidone","25","MG"
"746028","atenolol","50","MG"
"746028","chlorthalidone","25","MG"
"104308","atenolol","0.5","MG"
"152916","atenolol","50","MG"
"152916","chlorthalidone","12.5","MG"
"153155","atenolol","25","MG"
"153155","bendroflumethiazide","1.25","MG"
"197379","atenolol","100","MG"
"197380","atenolol","25","MG"
"197381","atenolol","50","MG"
"197382","atenolol","100","MG"
"197382","chlorthalidone","25","MG"
"197383","atenolol","50","MG"
"197383","chlorthalidone","25","MG"
"393275","atenolol","50","MG"
"393275","nifedipine","20","MG"
"755528","atenolol","5","MG"
"977920","atenolol","50","MG"
"977920","hydrochlorothiazide","25","MG"
"977920","amiloride","2.5","MG"
"315435","atenolol","0.5","MG"
"315436","atenolol","100","MG"
"315437","atenolol","25","MG"
"315438","atenolol","50","MG"
"331133","atenolol","5","MG"
"213729","betaxolol","2.5","MG"
"573587","betaxolol","2.5","MG"
"1297753","betaxolol","10","MG"
"1297757","betaxolol","20","MG"
"308719","betaxolol","2.5","MG"
"308720","betaxolol","5","MG"
"1297752","betaxolol","10","MG"
"1297756","betaxolol","20","MG"
"329586","betaxolol","2.5","MG"
"329587","betaxolol","5","MG"
"854910","bisoprolol","10","MG"
"854910","hydrochlorothiazide","6.25","MG"
"854918","bisoprolol","2.5","MG"
"854918","hydrochlorothiazide","6.25","MG"
"854921","bisoprolol","5","MG"
"854921","hydrochlorothiazide","6.25","MG"
"854909","bisoprolol","10","MG"
"854909","hydrochlorothiazide","6.25","MG"
"854917","bisoprolol","2.5","MG"
"854917","hydrochlorothiazide","6.25","MG"
"854920","bisoprolol","5","MG"
"854920","hydrochlorothiazide","6.25","MG"
"854901","bisoprolol","10","MG"
"854905","bisoprolol","5","MG"
"854908","bisoprolol","10","MG"
"854908","hydrochlorothiazide","6.25","MG"
"854916","bisoprolol","2.5","MG"
"854916","hydrochlorothiazide","6.25","MG"
"854919","bisoprolol","5","MG"
"854919","hydrochlorothiazide","6.25","MG"
"865154","bisoprolol","1.25","MG"
"865155","bisoprolol","2.5","MG"
"865157","bisoprolol","3.75","MG"
"865159","bisoprolol","7.5","MG"
"854900","bisoprolol","10","MG"
"854904","bisoprolol","5","MG"
"854915","bisoprolol","2.5","MG"
"865153","bisoprolol","1.25","MG"
"865156","bisoprolol","3.75","MG"
"865158","bisoprolol","7.5","MG"
"2047766","metoprolol","100","MG"
"2047769","metoprolol","200","MG"
"2047772","metoprolol","25","MG"
"2047775","metoprolol","50","MG"
"2712152","metoprolol","10","MG"
"866414","metoprolol","100","MG"
"866421","metoprolol","200","MG"
"866429","metoprolol","25","MG"
"866438","metoprolol","50","MG"
"866498","hydrochlorothiazide","25","MG"
"866498","metoprolol","100","MG"
"866502","hydrochlorothiazide","25","MG"
"866502","metoprolol","50","MG"
"866506","hydrochlorothiazide","50","MG"
"866506","metoprolol","100","MG"
"866513","metoprolol","100","MG"
"866516","metoprolol","50","MG"
"1370485","metoprolol","100","MG"
"1370502","metoprolol","200","MG"
"1370507","metoprolol","25","MG"
"1370512","metoprolol","50","MG"
"2047762","metoprolol","100","MG"
"2047768","metoprolol","200","MG"
"2047771","metoprolol","25","MG"
"2047774","metoprolol","50","MG"
"2712148","metoprolol","10","MG"
"866496","hydrochlorothiazide","25","MG"
"866496","metoprolol","100","MG"
"866500","hydrochlorothiazide","25","MG"
"866500","metoprolol","50","MG"
"866504","hydrochlorothiazide","50","MG"
"866504","metoprolol","100","MG"
"866512","metoprolol","100","MG"
"866515","metoprolol","50","MG"
"1111439","hydrochlorothiazide","25","MG"
"1111439","metoprolol","200","MG"
"1606347","metoprolol","37.5","MG"
"1606349","metoprolol","75","MG"
"1744259","metoprolol","1","MG"
"1999031","metoprolol","100","MG"
"1999033","metoprolol","200","MG"
"1999035","metoprolol","25","MG"
"1999037","metoprolol","50","MG"
"2712147","metoprolol","10","MG"
"866412","metoprolol","100","MG"
"866419","metoprolol","200","MG"
"866427","metoprolol","25","MG"
"866436","metoprolol","50","MG"
"866452","hydrochlorothiazide","12.5","MG"
"866452","metoprolol","100","MG"
"866461","hydrochlorothiazide","12.5","MG"
"866461","metoprolol","25","MG"
"866472","hydrochlorothiazide","12.5","MG"
"866472","metoprolol","50","MG"
"866479","hydrochlorothiazide","25","MG"
"866479","metoprolol","100","MG"
"866482","hydrochlorothiazide","25","MG"
"866482","metoprolol","50","MG"
"866491","hydrochlorothiazide","50","MG"
"866491","metoprolol","100","MG"
"866508","metoprolol","1","MG"
"866511","metoprolol","100","MG"
"866514","metoprolol","50","MG"
"866924","metoprolol","25","MG"
"1370474","metoprolol","50","MG"
"1370483","metoprolol","100","MG"
"1370489","metoprolol","25","MG"
"1370500","metoprolol","200","MG"
"1606346","metoprolol","37.5","MG"
"1606348","metoprolol","75","MG"
"2712142","metoprolol","10","MG"
"866411","metoprolol","100","MG"
"866418","metoprolol","200","MG"
"866426","metoprolol","25","MG"
"866435","metoprolol","50","MG"
"866507","metoprolol","1","MG"
"201337","nadolol","40","MG"
"201338","nadolol","80","MG"
"206961","nadolol","20","MG"
"565819","nadolol","40","MG"
"565820","nadolol","80","MG"
"567762","nadolol","20","MG"
"198000","bendroflumethiazide","5","MG"
"198000","nadolol","40","MG"
"198001","bendroflumethiazide","5","MG"
"198001","nadolol","80","MG"
"198004","nadolol","120","MG"
"198005","nadolol","160","MG"
"198006","nadolol","20","MG"
"198007","nadolol","40","MG"
"198008","nadolol","80","MG"
"316318","nadolol","120","MG"
"316319","nadolol","20","MG"
"316320","nadolol","40","MG"
"316321","nadolol","80","MG"
"317434","nadolol","160","MG"
"1495064","propranolol","4.28","MG"
"856462","propranolol","120","MG"
"856471","propranolol","120","MG"
"856483","propranolol","160","MG"
"856537","propranolol","60","MG"
"856571","propranolol","80","MG"
"856576","propranolol","80","MG"
"1495060","propranolol","4.28","MG"
"856461","propranolol","120","MG"
"856469","propranolol","120","MG"
"856482","propranolol","160","MG"
"856536","propranolol","60","MG"
"856570","propranolol","80","MG"
"856575","propranolol","80","MG"
"1495058","propranolol","4.28","MG"
"856422","hydrochlorothiazide","25","MG"
"856422","propranolol","40","MG"
"856429","hydrochlorothiazide","25","MG"
"856429","propranolol","80","MG"
"856443","propranolol","1","MG"
"856448","propranolol","10","MG"
"856457","propranolol","20","MG"
"856460","propranolol","120","MG"
"856481","propranolol","160","MG"
"856519","propranolol","40","MG"
"856535","propranolol","60","MG"
"856556","propranolol","60","MG"
"856569","propranolol","80","MG"
"856578","propranolol","80","MG"
"856615","bendroflumethiazide","2.5","MG"
"856615","propranolol","80","MG"
"856616","bendroflumethiazide","5","MG"
"856616","propranolol","160","MG"
"856703","propranolol","10","MG"
"856704","propranolol","1","MG"
"856712","propranolol","16","MG"
"856713","propranolol","160","MG"
"856719","propranolol","2","MG"
"856724","propranolol","4","MG"
"856733","propranolol","8","MG"
"856735","propranolol","80","MG"
"856737","propranolol","80","MG"
"856739","propranolol","90","MG"
"1495057","propranolol","4.28","MG"
"856392","propranolol","120","MG"
"856400","propranolol","160","MG"
"856411","propranolol","80","MG"
"856421","propranolol","40","MG"
"856442","propranolol","1","MG"
"856447","propranolol","10","MG"
"856456","propranolol","20","MG"
"856534","propranolol","60","MG"
"856702","propranolol","10","MG"
"856711","propranolol","16","MG"
"856718","propranolol","2","MG"
"856723","propranolol","4","MG"
"856732","propranolol","8","MG"
"856736","propranolol","80","MG"
"856738","propranolol","90","MG"
"998685","acebutolol","400","MG"
"998689","acebutolol","200","MG"
"998693","acebutolol","100","MG"
"998694","acebutolol","200","MG"
"998694","hydrochlorothiazide","12.5","MG"
"998695","acebutolol","400","MG"
"328656","acebutolol","200","MG"
"328700","acebutolol","400","MG"
"330871","acebutolol","100","MG"
"978573","carteolol","10","MG"
"978577","carteolol","2.5","MG"
"978581","carteolol","5","MG"
"978586","carteolol","20","MG"
"978572","carteolol","10","MG"
"978576","carteolol","2.5","MG"
"978580","carteolol","5","MG"
"978585","carteolol","20","MG"
"212388","carvedilol","6.25","MG"
"212389","carvedilol","12.5","MG"
"212390","carvedilol","25","MG"
"686926","carvedilol","3.125","MG"
"860512","carvedilol","10","MG"
"860518","carvedilol","20","MG"
"860524","carvedilol","40","MG"
"860534","carvedilol","80","MG"
"572581","carvedilol","6.25","MG"
"572582","carvedilol","12.5","MG"
"572583","carvedilol","25","MG"
"686925","carvedilol","3.125","MG"
"860511","carvedilol","10","MG"
"860517","carvedilol","20","MG"
"860523","carvedilol","40","MG"
"860533","carvedilol","80","MG"
"200031","carvedilol","6.25","MG"
"200032","carvedilol","12.5","MG"
"200033","carvedilol","25","MG"
"686924","carvedilol","3.125","MG"
"860510","carvedilol","10","MG"
"860516","carvedilol","20","MG"
"860522","carvedilol","40","MG"
"860532","carvedilol","80","MG"
"315575","carvedilol","12.5","MG"
"315576","carvedilol","25","MG"
"315577","carvedilol","6.25","MG"
"686923","carvedilol","3.125","MG"
"860509","carvedilol","10","MG"
"860515","carvedilol","20","MG"
"860521","carvedilol","40","MG"
"860531","carvedilol","80","MG"
"896777","labetalol","100","MG"
"896781","labetalol","200","MG"
"896783","labetalol","300","MG"
"896776","labetalol","100","MG"
"896780","labetalol","200","MG"
"896782","labetalol","300","MG"
"1234256","labetalol","5","MG"
"2477889","labetalol","5","MG"
"2479564","labetalol","1","MG"
"2479566","labetalol","1","MG"
"2479567","labetalol","1","MG"
"2598343","labetalol","5","MG"
"896758","labetalol","100","MG"
"896762","labetalol","200","MG"
"896766","labetalol","300","MG"
"896771","labetalol","5","MG"
"896976","hydrochlorothiazide","25","MG"
"896976","labetalol","300","MG"
"896983","labetalol","400","MG"
"896987","labetalol","50","MG"
"2479563","labetalol","1","MG"
"896757","labetalol","100","MG"
"896761","labetalol","200","MG"
"896765","labetalol","300","MG"
"896770","labetalol","5","MG"
"896982","labetalol","400","MG"
"896986","labetalol","50","MG"
"1798287","nebivolol","5","MG"
"1798287","valsartan","80","MG"
"751616","nebivolol","10","MG"
"751620","nebivolol","2.5","MG"
"751623","nebivolol","5","MG"
"827075","nebivolol","20","MG"
"1798283","nebivolol","5","MG"
"1798283","valsartan","80","MG"
"751614","nebivolol","10","MG"
"751619","nebivolol","2.5","MG"
"751622","nebivolol","5","MG"
"827074","nebivolol","20","MG"
"1798281","nebivolol","5","MG"
"1798281","valsartan","80","MG"
"387013","nebivolol","5","MG"
"751612","nebivolol","10","MG"
"751618","nebivolol","2.5","MG"
"827073","nebivolol","20","MG"
"393307","nebivolol","5","MG"
"751611","nebivolol","10","MG"
"751617","nebivolol","2.5","MG"
"827072","nebivolol","20","MG"
"150751","oxprenolol","160","MG"
"199494","oxprenolol","20","MG"
"199495","oxprenolol","40","MG"
"199786","oxprenolol","80","MG"
"199787","oxprenolol","160","MG"
"250553","cyclopenthiazide","0.25","MG"
"250553","oxprenolol","160","MG"
"332279","oxprenolol","20","MG"
"332280","oxprenolol","40","MG"
"332281","oxprenolol","80","MG"
"332282","oxprenolol","160","MG"
"1191185","penbutolol","20","MG"
"1191184","penbutolol","20","MG"
"198104","pindolol","10","MG"
"198105","pindolol","5","MG"
"199277","pindolol","15","MG"
"199717","clopamide","5","MG"
"199717","pindolol","10","MG"
"316521","pindolol","10","MG"
"316522","pindolol","5","MG"
"332331","pindolol","15","MG"
"1922784","timolol","5","MG"
"1922784","dorzolamide","20","MG"
"1922877","timolol","2.5","MG"
"1922895","timolol","5","MG"
"1923429","timolol","2.5","MG"
"1923433","timolol","5","MG"
"1923433","dorzolamide","20","MG"
"1992300","timolol","5","MG"
"1992304","timolol","5","MG"
"1992305","timolol","5","MG"
"208560","timolol","2.5","MG"
"861420","timolol","0.0025","MG"
"861422","timolol","0.005","MG"
"861637","timolol","5","MG"
"861637","brimonidine","2","MG"
"2702394","timolol","5","MG"
"2702399","timolol","2.5","MG"
"542510","timolol","5","MG"
"573193","timolol","5","MG"
"573193","dorzolamide","20","MG"
"670638","timolol","2.5","MG"
"670645","timolol","5","MG"
"861418","timolol","0.0025","MG"
"861421","timolol","0.005","MG"
"861636","timolol","5","MG"
"861636","brimonidine","2","MG"
"1922783","timolol","5","MG"
"1922783","dorzolamide","20","MG"
"1922876","timolol","2.5","MG"
"1922894","timolol","5","MG"
"1923428","timolol","2.5","MG"
"1923432","timolol","5","MG"
"1923432","dorzolamide","20","MG"
"198284","timolol","10","MG"
"198285","timolol","20","MG"
"198286","timolol","5","MG"
"1992299","timolol","5","MG"
"1992303","timolol","5","MG"
"250543","timolol","10","MG"
"250543","bendroflumethiazide","2.5","MG"
"2702393","timolol","5","MG"
"2702398","timolol","2.5","MG"
"310811","timolol","10","MG"
"310811","hydrochlorothiazide","25","MG"
"313407","timolol","0.0025","MG"
"313408","timolol","0.005","MG"
"388054","timolol","5","MG"
"388054","latanoprost","0.05","MG"
"388522","timolol","0.001","MG"
"861635","timolol","5","MG"
"861635","brimonidine","2","MG"
"977949","timolol","10","MG"
"977949","hydrochlorothiazide","25","MG"
"977949","amiloride","2.5","MG"
"2702390","timolol","5","MG"
"2702397","timolol","2.5","MG"
"328742","timolol","5","MG"
"328745","timolol","5","MG"
"328746","timolol","20","MG"
"330504","timolol","10","MG"
"330523","timolol","2.5","MG"
"340010","timolol","0.005","MG"
"340121","timolol","0.0025","MG"
"393352","timolol","0.001","MG"
"977948","timolol","10","MG"
"998685","acebutolol","400","MG"
"998689","acebutolol","200","MG"
"998693","acebutolol","100","MG"
"998694","acebutolol","200","MG"
"998694","hydrochlorothiazide","12.5","MG"
"998695","acebutolol","400","MG"
"328656","acebutolol","200","MG"
"328700","acebutolol","400","MG"
"330871","acebutolol","100","MG"
"1191185","penbutolol","20","MG"
"1191184","penbutolol","20","MG"
"198104","pindolol","10","MG"
"198105","pindolol","5","MG"
"199277","pindolol","15","MG"
"199717","clopamide","5","MG"
"199717","pindolol","10","MG"
"316521","pindolol","10","MG"
"316522","pindolol","5","MG"
"332331","pindolol","15","MG"
"212388","carvedilol","6.25","MG"
"212389","carvedilol","12.5","MG"
"212390","carvedilol","25","MG"
"686926","carvedilol","3.125","MG"
"860512","carvedilol","10","MG"
"860518","carvedilol","20","MG"
"860524","carvedilol","40","MG"
"860534","carvedilol","80","MG"
"572581","carvedilol","6.25","MG"
"572582","carvedilol","12.5","MG"
"572583","carvedilol","25","MG"
"686925","carvedilol","3.125","MG"
"860511","carvedilol","10","MG"
"860517","carvedilol","20","MG"
"860523","carvedilol","40","MG"
"860533","carvedilol","80","MG"
"200031","carvedilol","6.25","MG"
"200032","carvedilol","12.5","MG"
"200033","carvedilol","25","MG"
"686924","carvedilol","3.125","MG"
"860510","carvedilol","10","MG"
"860516","carvedilol","20","MG"
"860522","carvedilol","40","MG"
"860532","carvedilol","80","MG"
"315575","carvedilol","12.5","MG"
"315576","carvedilol","25","MG"
"315577","carvedilol","6.25","MG"
"686923","carvedilol","3.125","MG"
"860509","carvedilol","10","MG"
"860515","carvedilol","20","MG"
"860521","carvedilol","40","MG"
"860531","carvedilol","80","MG"
"896777","labetalol","100","MG"
"896781","labetalol","200","MG"
"896783","labetalol","300","MG"
"896776","labetalol","100","MG"
"896780","labetalol","200","MG"
"896782","labetalol","300","MG"
"1234256","labetalol","5","MG"
"2477889","labetalol","5","MG"
"2479564","labetalol","1","MG"
"2479566","labetalol","1","MG"
"2479567","labetalol","1","MG"
"2598343","labetalol","5","MG"
"896758","labetalol","100","MG"
"896762","labetalol","200","MG"
"896766","labetalol","300","MG"
"896771","labetalol","5","MG"
"896976","hydrochlorothiazide","25","MG"
"896976","labetalol","300","MG"
"896983","labetalol","400","MG"
"896987","labetalol","50","MG"
"2479563","labetalol","1","MG"
"896757","labetalol","100","MG"
"896761","labetalol","200","MG"
"896765","labetalol","300","MG"
"896770","labetalol","5","MG"
"896982","labetalol","400","MG"
"896986","labetalol","50","MG"
"2566860","benazepril","2.5","MG"
"2566860","spironolactone","20","MG"
"2566864","benazepril","5","MG"
"2566864","spironolactone","40","MG"
"2566868","benazepril","10","MG"
"2566868","spironolactone","80","MG"
"898344","amlodipine","10","MG"
"898344","benazepril","20","MG"
"898348","amlodipine","10","MG"
"898348","benazepril","40","MG"
"898355","amlodipine","5","MG"
"898355","benazepril","10","MG"
"898358","amlodipine","5","MG"
"898358","benazepril","20","MG"
"898366","benazepril","10","MG"
"898366","hydrochlorothiazide","12.5","MG"
"898371","benazepril","20","MG"
"898371","hydrochlorothiazide","12.5","MG"
"898376","benazepril","20","MG"
"898376","hydrochlorothiazide","25","MG"
"898689","benazepril","10","MG"
"898692","benazepril","20","MG"
"898721","benazepril","40","MG"
"898725","benazepril","5","MG"
"2566855","benazepril","2.5","MG"
"2566855","spironolactone","20","MG"
"2566863","benazepril","5","MG"
"2566863","spironolactone","40","MG"
"2566867","benazepril","10","MG"
"2566867","spironolactone","80","MG"
"898343","amlodipine","10","MG"
"898343","benazepril","20","MG"
"898347","amlodipine","10","MG"
"898347","benazepril","40","MG"
"898354","amlodipine","5","MG"
"898354","benazepril","10","MG"
"898357","amlodipine","5","MG"
"898357","benazepril","20","MG"
"898364","benazepril","10","MG"
"898364","hydrochlorothiazide","12.5","MG"
"898369","benazepril","20","MG"
"898369","hydrochlorothiazide","12.5","MG"
"898374","benazepril","20","MG"
"898374","hydrochlorothiazide","25","MG"
"898688","benazepril","10","MG"
"898691","benazepril","20","MG"
"898720","benazepril","40","MG"
"898724","benazepril","5","MG"
"2566853","benazepril","2.5","MG"
"2566853","spironolactone","20","MG"
"2566862","benazepril","5","MG"
"2566862","spironolactone","40","MG"
"2566866","benazepril","10","MG"
"2566866","spironolactone","80","MG"
"898342","amlodipine","10","MG"
"898342","benazepril","20","MG"
"898346","amlodipine","10","MG"
"898346","benazepril","40","MG"
"898350","amlodipine","2.5","MG"
"898350","benazepril","10","MG"
"898353","amlodipine","5","MG"
"898353","benazepril","10","MG"
"898356","amlodipine","5","MG"
"898356","benazepril","20","MG"
"898359","amlodipine","5","MG"
"898359","benazepril","40","MG"
"898362","benazepril","10","MG"
"898362","hydrochlorothiazide","12.5","MG"
"898367","benazepril","20","MG"
"898367","hydrochlorothiazide","12.5","MG"
"898372","benazepril","20","MG"
"898372","hydrochlorothiazide","25","MG"
"898378","benazepril","5","MG"
"898378","hydrochlorothiazide","6.25","MG"
"898687","benazepril","10","MG"
"898690","benazepril","20","MG"
"898719","benazepril","40","MG"
"898723","benazepril","5","MG"
"2566846","benazepril","2.5","MG"
"898341","benazepril","20","MG"
"898345","benazepril","40","MG"
"898349","benazepril","10","MG"
"898377","benazepril","5","MG"
"104370","captopril","25","MG"
"104370","hydrochlorothiazide","12.5","MG"
"197436","captopril","25","MG"
"197436","hydrochlorothiazide","15","MG"
"197437","captopril","25","MG"
"197437","hydrochlorothiazide","25","MG"
"197438","captopril","50","MG"
"197438","hydrochlorothiazide","15","MG"
"197439","captopril","50","MG"
"197439","hydrochlorothiazide","25","MG"
"308962","captopril","100","MG"
"308963","captopril","12.5","MG"
"308964","captopril","50","MG"
"317173","captopril","25","MG"
"315559","captopril","100","MG"
"315560","captopril","12.5","MG"
"315561","captopril","25","MG"
"315562","captopril","50","MG"
"1435630","enalapril","1","MG"
"858806","enalapril","2.5","MG"
"858812","enalapril","20","MG"
"858815","enalapril","5","MG"
"858819","enalapril","10","MG"
"858830","enalapril","10","MG"
"858830","hydrochlorothiazide","25","MG"
"1435626","enalapril","1","MG"
"858805","enalapril","2.5","MG"
"858811","enalapril","20","MG"
"858814","enalapril","5","MG"
"858818","enalapril","10","MG"
"858829","enalapril","10","MG"
"858829","hydrochlorothiazide","25","MG"
"1435624","enalapril","1","MG"
"833237","diltiazem","180","MG"
"833237","enalapril","5","MG"
"858804","enalapril","2.5","MG"
"858810","enalapril","20","MG"
"858813","enalapril","5","MG"
"858817","enalapril","10","MG"
"858821","enalapril","1.25","MG"
"858824","enalapril","5","MG"
"858824","hydrochlorothiazide","12.5","MG"
