Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883.5.135,TableRowGroupType,TableRowGroupType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,TableRowGroupType, , , ,,UV
2.16.840.1.113883.5.136,TableRules,TableRules,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,TableRules, , , ,,UV
2.16.840.1.113883.5.137,TargetAwareness,TargetAwareness,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,TargetAwareness, , , ,,UV
2.16.840.1.113883.5.139,TimingEvent,TimingEvent,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,TimingEvent, , , ,,UV
2.16.840.1.113883.5.140,TribalEntityUS,TribalEntityUS,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,TribalEntityUS, , , ,,UV
2.16.840.1.113883.5.141,UnitsOfMeasure,UnitsOfMeasure,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,UnitsOfMeasure, , , ,,UV
2.16.840.1.113883.5.142,UnitsOfMeasureCaseSensitive,UnitsOfMeasureCaseSensitive,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,UnitsOfMeasureCaseSensitive, , , ,,UV
2.16.840.1.113883.5.143,urlScheme,Universal Resource Locator Scheme,,,masked,,HL7,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",(+1) 734-677-7777,masked,,Health Level Seven,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",(+1) 734-677-7777,hq@hl7.org,http://www.hl7.org,SDO,,Int,,,5,Complete,,HL7,"Identifies the protocol used to interpret the address string and to access the resource so addressed.Some URL schemes are registered by the Internet Assigned Numbers Authority (IANA) [http://www.iana.org], however IANA only registers URL schemes that are defined in Internet RFC documents. In fact there are a number of URL schemes defined outside RFC documents, some of which are registered with the World Wide Web Consortium (W3C).", ,2009/12/22 12:00:00, ,,UV
2.16.840.1.113883.5.144,VaccineManufacturer,VaccineManufacturer,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,VaccineManufacturer, , , ,,UV
2.16.840.1.113883.5.145,VaccineType,VaccineType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,VaccineType, , , ,,UV
2.16.840.1.113883.5.146,ValueSetOperator,ValueSetOperator,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,ValueSetOperator, , , ,,UV
2.16.840.1.113883.5.147,VocabularyDomainQualifier,VocabularyDomainQualifier,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,VocabularyDomainQualifier, , , ,,UV
2.16.840.1.113883.6.21,nubc-UB92,NUBC UB92,Melinna,Giannini,masked,,,,,masked,,National Uniform Billing Committee (NUBC),,,tomundson@aha.org,http://www.nubc.org/,,,Int,,,6,Complete,,,"National Uniform Billing Council, UB 92",2001/05/10 12:00:00,2001/05/10 12:00:00,2001/05/10 04:05:00,,UV
2.16.840.1.113883.6.22,pnds,Perioperative Nursing Data Set,Suzanne,Bakken,masked,,Denise Downing,"2170 South Parker Road, Suite 300Denver, Colorado 80013",800-755-2676 ext.  216,masked,Perioperative Informatics Specialist,AORN,"2170 South Parker Road, Suite 300Denver, Colorado 80013",800-755-2676 X 216,ddowning@aorn.org,,Prof Soc,,Int,,,6,Complete,,,"The PNDS provides standardized terms and codes for patient problems/nursing diagnoses, nursing interventions including actual or expected (goal) outcomes.   The PNDS provides standardized terms and codes for nursing interventions and outcome, as well as incorporating a subset of NANDA Nursing Diagnoses.  The NANDA diagnoses in the PNDS have already been registered by HL7.  The PNDS intervention and outcome statements have recently undergone a revision and update for integration into AORN&#732;s standardized perioperative documentation framework.  While the PNDS model remains the same, the interventions have been subdivided to demonstrate the nursing process and perioperative plan of care.  A conversion table is provided with the updated PNDS codes to the previous version of PNDS.  For more information go to www.aorn.org or pnds@aorn.org   ",2002/05/02 12:00:00,2002/10/09 12:00:00,2012/05/14 05:15:26,,UV
2.16.840.1.113883.6.23,nmmds,Nursing Management Minimum Data Set,Suzanne,Bakken,masked,,"Connie Delaney, PhD, RN, FAAN and Diane Huber, PhD, RN, FAAN","464 Nursing Building, Iowa City, Iowa 52242",319-335-7113 or 319-335-7110,masked,,"The University of Iowa, College of Nursing","464 Nursing Building, Iowa City, Iowa 52242",319-335-7113 or 319-335-7110,connie-delaney@uiowa.edu or diane-huber@uiowa.edu,,,,Int,,,6,Complete,,,"The NMMDS is the minimum set of items of information with uniform definitions and categories concerning the specific dimension of the context of patient care delivery.  It represents the minimum data used to support the management and administration of patient/nursing care delivery across all types of settings.  The NMMDS is composed of seventeen (17) data elements organized into three categories: environment, nurse resources, and financial resources.  See Tables 1-3 for the elements and related definitions organized by each categories.  The NMMDS most appropriately focuses at the first level of accountability for patient/client/family/community nursing care: this may be the delivery unit, service, or center of excellence level.  The NMMDS supports numerous constructed variables as well as aggregation of data at the unit, institution, network, and system, etc levels.  This minimum data set provides the structure for the collection of uniform information that influences quality of patient care, directly and indirectly.", ,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.6.24,mdc,ISO 11073-10101 Health informatics Point-of-care medical device communication - Nomenclature,Todd,Cooper,masked,,Melvin Reynolds,"AMS Consulting, Ashcote, Walford Road, Ross-on-Wye, Herefordshire, HR9 5PQ, UK",+44 1989 763120,masked,ISO TC215 WG2 SG1 Chair,IEEE 1073 General Committee,"12127 Ragweed StreetSan Diego, CA  92129-4103",858.484.8231,t.cooper@ieee.org,http://www.hl7.org,,,Int,,,6,Complete,,,"The nomenclature relates primarily to vital signs monitoring, but also includes semantics of other medical devices that are commonly used in acute care settings.  There are multiple coding partitions each of which has a systematic name consisting of a set of base concepts and differentiating criteria.",2002/10/09 12:00:00,2002/10/10 12:00:00,2002/10/10 12:00:00,,UV
2.16.840.1.113883.6.25,abcCodes,ABCcodes,Melinna,Giannini,masked,,Melinna Giannini,"1065 S. Main, Building C, Las Cruces, NM 88005",505-527-0636,masked,,"Alternative Link Systems, Inc.","1065 S. Main, Building C, Las Cruces, NM 88005",505-527-0636,mg@alternativelink.com,http://www.alternativelink.com/ali/home/default.asp,,,Int,,,6,Complete,,,"These codes fit into standard message formats for HCPCS codes that are a named standard.ABC codes represent over 4,500 healthcare products and services. They fill gaps in older medical code sets such as CPT ® and HCPCS II and the retirement of state-specific HCPCS III codes.   ABCcodes are a shorthand means of documenting healthcare procedures and treatments. Codes are an essential tool when computers are used to reduce paperwork and costs. Codes are also essential for managing the healthcare supply chain.   The codes reflect care that is not described by conventional or allopathic centric code sets. ABC codes describe nursing, behavioral health, alternative medicine, ethnic and minority care, midwifery and spiritual care.",2002/10/10 12:00:00,2002/10/10 12:00:00,2002/10/10 12:00:00,,UV
2.16.840.1.113883.6.26,medcin,MEDCIN,David,Lareau,masked,,David Lareau,"14500 Avion Parkway, Suite 175Chantilly, VA 20151",703-803-8080,masked,,Medicomp Systems,"14500 Avion Parkway, Suite 175Chantilly, VA 20151",703-803-8080,info@medicomp.com,http://www.medicomp.com,,,Int,,,6,Complete,,,"MEDCIN contains more than 175,000 clinical data elements arranged in a hierarchy, with each item having weighted links to relevant diagnoses.  The clinical data elements are organized into six basic termtypes designed to accommodate information relevant to a clinical encounter.  The basic termtypes in MEDCIN’s terminological hierarchy are as follows:SymptomsHistoryPhysical ExaminationTestsDiagnosesTherapyWithin this basic structure, MEDCIN terms are further organized in a ten level terminological hierarchy, supplemented by an optional, multi-hierarchical diagnostic index.  For example, the symptom of “difficulty breathing” is placed in the terminological hierarchy as a subsidiary (or “child”) finding of “pulmonary symptoms,” although the presence (or absence) of difficulty breathing can related to conditions as diverse as myocardial infarction, bronchitis, pharyngeal foreign bodies, asthma, pulmonary embolism, etc.  MEDCIN’s diagnostic index provides more than 800 such links for difficulty breathing.",2002/10/10 12:00:00,2002/10/10 12:00:00,2002/10/10 12:00:00,,UV
2.16.840.1.113883.6.27,multum,Multum Lexicon,Tim,McNamara,masked,,,,,masked,,Multum Information Services,"3200 Cherry Creek South Drive Suite 300 Denver, CO 80209",(303) 733-4447,info@multum.com,http://www.multum.com,Vendor,,Int,,,6,Complete,,,"Broadly, the fields and values in the Multum Lexicon and the VantageRx Database are intended to be available for use in any HL7 message that includes a reference to non-veterinary drug products or active ingredients that are either approved for sale by the FDA or readily available in the United States.  The following inter-related definitions recently circulated by us to the HL7 Vocabulary Technical Committee explain the scope of what we mean by “drug product” and “active ingredient”.  (A definition for “drug ingredient” is also provided here because the definition of “active ingredient” is reliant on this term.)Drug ProductA drug product is a manufactured or extemporaneously-compounded physiologically-active material intended by the preparer to achieve therapeutic, diagnostic, or preventative effects via biochemical mechanisms when applied to an epithelial surface or placed in an internal body space of a targeted organism.Drug IngredientA drug ingredient is a chemical compound or biologic agent that occurs in a drug product.Active IngredientAn active ingredient is a drug ingredient that mediates one or more of the intended therapeutic, diagnostic, or preventative effects of a drug product and is present in sufficient quantities to achieve such effects according to the allopathic tradition of healthcare practice.",2002/10/10 12:00:00,2002/10/10 12:00:00,2002/10/10 12:00:00,,UV
2.16.840.1.113883.6.28,rcFB,The Read Codes Four Byte Set:,David,Robinson,masked,,"Paul Frosdick, NHS Information Authority","Aqueous 2, Rocky lane, Aston cross, Birmingham, UK",+44 (0)121 333 0331,masked,,National Health Service (UK),Aqueous IIAston CrossRocky LaneBirminghamB6 5RQUK,+44 (0)121 333 0333,information@nhsia.nhs.uk,http://www.nhsia.nhs.uk/def/home.asp,Provider,,Int,,,6,Complete,,National Health Service (UK),"The Read Codes Four Byte Set consists of 4 alphanumeric characters. This version contains approximately 40,000 codes arranged in a hierarchical structure. 	 Top level hierarchy sections:	DisordersFindings Surgical proceduresInvestigationsOccupationsDrugs",2002/10/10 12:00:00,2002/10/10 12:00:00,2002/10/10 12:00:00,,UV
2.16.840.1.113883.6.29,rcV2,The Read Codes Version 2,David,Robinson,masked,,"Paul Frosdick, NHS Information Authority","Aqueous 2, Rocky lane, Aston cross, Birmingham, UK",+44 (0)121 333 0331,masked,,National Health Service (UK),Aqueous IIAston CrossRocky LaneBirminghamB6 5RQUK,+44 (0)121 333 0333,information@nhsia.nhs.uk,http://www.nhsia.nhs.uk/def/home.asp,Provider,,Int,,,6,Complete,,National Health Service (UK),"The Read Codes Version 2 contains over 70,000 coded concepts arranged in a hierarchical structure. 	 Top level hierarchy sections:	DisordersFindings Surgical proceduresInvestigationsOccupationsDrugs",2002/10/10 12:00:00,2002/10/10 12:00:00,2002/10/10 12:00:00,,UV
2.16.840.1.113883.6.30,as4,ASTM E1238-E1467,,,masked,,,"ASTM International100 Barr Harbor Drive, PO Box C700West Conshohocken, PA 19428-2959 USA",,masked,,American Society for Testing & Materials,"ASTM International100 Barr Harbor Drive, PO Box C700West Conshohocken, PA 19428-2959 USA",,,http://www.astm.org/Standards/E1238.htm,Prof Soc,,Int,,,6,Obsolete,,HL7,"ASTM E1238/ E1467 UniversalAmerican Society for Testing & Materials and CPT4 (see Appendix X1 of Specification E1238 and Appendix X2 of Specification E1467).ASTM E1238-97 Standard Specification for Transferring Clinical Observations Between Independent Computer Systems (Withdrawn 2002).  Has been replaced by ANSI NCCLS, available from http://www.clsi.org/",1999/12/30 12:00:00,2010/01/26 12:00:00,2010/01/26 11:34:56,AS4,UV
2.16.840.1.113883.6.76,ACR,ACR,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,American College of Radiology finding codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.77,ATC,ATC,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,American Type Culture Collection,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.78,as4e,AS4E,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,AS4 Neurophysiology Codes,1999/12/30 12:00:00, , ,,UV
2.16.840.1.113883.6.79,CDS,CDS,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,CDC Surveillance,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.80,CE,CE,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,CEN ECG diagnostic codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.81,CLP,CLP,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,CLIP,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.82,C5,C5,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,CPT-5,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.83,DCL,DCL,,,masked,,,,,masked,,,,,,,,,Int,,,6,Deprecated,,,DICOM Class Label; note these are now deprecated and are superceded by 1.2.840.10008.2.16.4,1899/12/30 12:00:27, ,2003/06/09 12:00:00,,UV
2.16.840.1.113883.6.31,dicomMDLTY,DICOM modality codes,,,masked,,,,,masked,,,,,,,,,Int,,1.2.840.10008.2.16.4,6,Deprecated,,,DICOM modality codes; note these are now deprecated and are superceded by 1.2.840.10008.2.16.4,1899/12/30 12:00:27,2009/10/14 12:00:00, ,,UV
2.16.840.1.113883.6.32,dicomqry,DICOM Query Label,,,masked,,,,,masked,,,,,,,,,Int,,1.2.840.10008.2.16.4,6,Deprecated,,,DICOM Query Label; note these are now deprecated and are superceded by 1.2.840.10008.2.16.4,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.33,ENZC,ENZC,,,masked,,,,,masked,,,,,,,,,Int,,,6,Rejected,,,"Enzyme CodesEntry rejected 1/26/2010.  No information about the entry, code system cannot be located on the Web, no entries in the UMLS for this acronym, no reference information available, no names or company identification associated with entry.",1999/12/30 12:00:00,2010/01/26 12:00:00,2010/01/26 12:31:25,,UV
2.16.840.1.113883.6.34,euclides,EUCLIDES,,,masked,,,,,masked,,Euclides Foundation International,,,,,,,Int,,,6,Complete,,,EUCLIDES,1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,E,UV
2.16.840.1.113883.6.35,e5,Euclides  quantity codes,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,Euclides  quantity codes,1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,E5,UV
2.16.840.1.113883.6.36,e6,Euclides Lab method codes,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,Euclides Lab method codes,1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,E6,UV
2.16.840.1.113883.6.37,e7,Euclides Lab equipment codes,,,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,,Euclides Lab equipment codes,1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,E7,UV
2.16.840.1.113883.6.38,fdk,FDA K10,,,masked,,,,,masked,,,,,,,Govt body,,Int,,,6,Complete,,,FDA K10 device & analyte process codes,1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,FDK,UV
2.16.840.1.113883.6.39,hi,Health Outcomes Institute codes for outcome variables,,,masked,,,,,masked,,Stratis Health (formerly Foundation for Health Care Evaluation and Health Outcomes Institute),"2901 Metro Drive, Suite 400Bloomington, MN, 55425-1525",,,,,,Int,,,6,Complete,,,"Health Outcomes Institute codes for outcome variables available (with responses) from Stratis Health (formerly Foundation for Health Care Evaluation and Health Outcomes Institute), 2901 Metro Drive, Suite 400, Bloomington, MN, 55425-1525; (612) 854-3306 (voice); (612) 853-8503 (fax); dziegen@winternet.com. See examples in the Implementation Guide.",1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,HI,UV
2.16.840.1.113883.6.40,hibccHIN,HIBCC,,,masked,,,,,masked,,Health Industry Business Communications Council,"5110 N. 40th St., Ste 120Phoenix, AZ 85018",602.381.1091,info@hibcc.org,http://www.hibcc.org/,,,Int,,,6,Complete,,,"Health Industry Number (HIN) is a unique identifier for enumerating locations and providers of services and activities throughout the health industry. The HIN enumerates provider establishments and all other entities in the health industrysupply chain, as well as prescribers by location.  The HIN is physically represented as a nine-character alphanumeric string comprising six randomly-assigned characters followed by a modulus-based check character in the seventh position, followed by a two-character suffix that identifies all known practice locations of prescribers, or the various services, activities or even administrative programs associated with health care establishments.",1899/12/30 12:00:27,2009/10/14 12:00:00,2009/10/14 12:00:00,HB,UV
2.16.840.1.113883.6.41,ics,International Classification of Clinical Services,,,masked,,,,,masked,,Commission on Professional and Hospital Activities (CPHA),,,,,,,Int,,,6,Complete,,,International Classification of Clinical Services.,1899/12/30 12:00:27,2009/10/14 12:00:00, ,ICS,UV
2.16.840.1.113883.6.42,icd9,"International Classification of Diseases, Version 9",Nenad,Kostanjsek,masked,,Nenad Kostanjsek,Avenue Appia 20 1211 Geneva 27 Switzerland,+41794755474,masked,Technical Officer for Classifications and Terminologies,World Health Organization,Avenue Appia 20 1211 Geneva 27 Switzerland,+ 41 22 791 21 11,info@who.int,https://who.int,SDO,,Int,,,6,Complete,,HL7 International,"International Classification of Diseases, Version 9 (ICD9)",1999/12/30 12:00:00,2009/10/14 12:00:00, ,,UV
2.16.840.1.113883.6.43,icd-o,International Classification of Diseases for Oncology:  ICD-O,Ted,Klein,masked,,,,,masked,,World Health Organization (WHO),,,,http://www.who.int/en/,SDO,,Int,,,6,Complete,,,"This branch node heads up the different versions of the International Classification of Diseases for Oncology, which must be identified as different coding systems under HL7 terminology rules.",1899/12/30 12:00:27,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.6.44,ichppc-2,ICHPPC-2,Harold,Solbrig,masked,,,,,masked,,,,,,,,,Int,,,6,Complete,,HL7,"International Classification of Health Problems in Primary Care, Classification Committee of World Organization of National Colleges, Academies and Academic Associations of General Practitioners (WONCA), 3rd edition. An adaptation of ICD9 intended for use in General Medicine, Oxford University Press.http://www.annals.org/content/93/2/386.3.extractThere does not seem to be an authoritative source to access this material as a code system.",1999/12/30 12:00:00,2010/01/26 12:00:00,2010/01/26 12:40:40,IC2,UV
2.16.840.1.113883.6.45,icsd,International Classification of Sleep Disorders,,,masked,,José Vis,Slaapcentrum SEIN Zwolle (SSZ)Dr. Denekampweg 208025 BV ZwolleThe Netherlands,+31-038 - 455 7185,masked,Secretary,European Society of Sleep Technologists,,,,http://www.esst.org/,SDO,,Int,,,6,Complete,,,International Classification of Sleep Disorders,1999/12/30 12:00:00,2010/01/26 12:00:00,2010/01/26 04:47:05,,UV
2.16.840.1.113883.6.46,iupp,IUPP,,,masked,,Dr. John W. Jost,"IUPAC Secretariat104 T.W. Alexander Drive, Building 19Research Triangle Park, NC 27709, USA",+1 919 485 8700,masked,Executive Director,International Union of Pure and Applied Chemistry,"IUPAC Secretariat104 T.W. Alexander Drive, Building 19Research Triangle Park, NC 27709, USA",+1 919 485 8700,secretariat@iupac.org,http://www.iupac.org,Prof Soc,,Int,,,6,Complete,,,IUPAC/IFCC Property Codeshttp://old.iupac.org/publications/epub/index.htmlhttp://www.iupac.org/web/ins/2001-068-1-700,1999/12/30 12:00:00,2010/01/26 12:00:00,2010/01/26 05:01:49,,UV
2.16.840.1.113883.6.47,iupc,IUPAC/IFCC Component Codes,,,masked,,Dr. John W. Jost,"IUPAC Secretariat104 T.W. Alexander Drive, Building 19Research Triangle Park, NC 27709, USA",+1 919 485 8700,masked,Executive Director,International Union of Pure and Applied Chemistry,"IUPAC Secretariat104 T.W. Alexander Drive, Building 19Research Triangle Park, NC 27709, USA",+1 919 485 8700,secretariat@iupac.org,http://www.iupac.org,Prof Soc,,Int,,,6,Complete,,HL7,IUPAC/IFCC Component Codeshttp://www.iupac.org/web/ins/2004-023-1-700,1999/12/30 12:00:00,2010/01/26 12:00:00,2010/01/26 05:07:56,,UV
2.16.840.1.113883.6.48,JC8,JC8,,,masked,,,,,masked,,,,,,,Govt body,,Int,,,6,Pending,,,Japanese Chemistry,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.49,OHA,OHA,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.6.98,6,Rejected,,,"Omaha SystemDuplicate entry, request for OID assignment rejected.  See replacedBy for the correct OID.",1899/12/30 12:00:27,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.6.50,POS,POS,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,POS Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.51,SNM3,SNM3,,,masked,,,,,masked,,,,,,,SDO,,Int,,,6,Pending,,,SNOMED International,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.52,SNT,SNT,,,masked,,,,,masked,,,,,,,SDO,,Int,,,6,Pending,,,SNOMED topology codes (anatomic sites),1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.53,SDM,SDM,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,SNOMED- DICOM Microglossary,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.54,UC,UC,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,UCDS,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.55,UPC,UPC,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,Universal Product Code,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.56,UML,UML,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,Unified Medical Language,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.57,CDCA,CDCA,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,CDC Analyte Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.58,CDCM,CDCM,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,CDC Methods/Instruments Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.59,cvx,CVX,,,masked,,,,,masked,,,,,hq@hl7.org,,Govt body,,Int,,,6,Retired,,HL7,CDC Vaccine Codes used in the 1999 RRF research project at HL7.DO NOT USEThis OID has been retired as it only identifies the set of codes used in the RRF research project.,1999/12/30 12:00:00,2013/01/22 12:00:00,2013/01/22 09:28:18,,UV
2.16.840.1.113883.6.60,mvx,MVX,,,masked,,,,,masked,,,,,hq@hl7.org,,,,Int,,,6,Retired,,,CDC Vaccine Manufacturer CodesDO NOT USEThis OID was setup solely for use in the RRF research project in 1999.   The correct OID for mvx is 2.16.840.1.113883.12.227,1999/12/30 12:00:00,2013/01/22 12:00:00,2013/01/22 11:00:53,,UV
2.16.840.1.113883.6.61,CAS,CAS,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,Chemical abstract codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.62,CST,CST,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,COSTART,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.63,FDDX,FDDX,,,masked,,,,,masked,,,,,,,Vendor,,Int,,,6,Pending,,,First DataBank Diagnostic Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.64,FDDC,FDDC,,,masked,,,,,masked,,,,,,,Vendor,,Int,,,6,Pending,,,First DataBank Drug Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.65,medispanMedicalConditions,Medi-Span Medical Conditions,,,masked,,Howard Strasberg,"Wolters Kluwer Health -- Medi-Span8425 Woodfield Crossing Blvd.Suite 490Indianapolis, IN 46240",858-481-4249,masked,VP Medical Informatics,Wolters Kluwer Health -- Medi-Span,,,howard.strasberg@wolterskluwer.com,http://www.medispan.com/,Vendor,,Int,,,6,Complete,,HL7 International,Medi-Span Medical Condition codes.,1999/12/30 12:00:00,2013/10/21 12:00:00,2013/10/21 03:33:00,,UV
2.16.840.1.113883.6.66,MEDX,MEDX,,,masked,,,,,masked,,,,,,,Vendor,,Int,,,6,Pending,,,Medical Economics Diagnostic Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.67,MEDC,MEDC,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,Medical Economics Drug Codes,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.68,medispanGPI,Medi-Span GPI,,,masked,,Howard Strasberg,"Wolters Kluwer Health -- Medi-Span8425 Woodfield Crossing Blvd.Suite 490Indianapolis, IN 46240",858-481-4249,masked,VP Medical Informatics,Wolters Kluwer Health -- Medi-Span,,,howard.strasberg@wolterskluwer.com,http://www.medispan.com/,Vendor,,Int,,,6,Complete,,HL7 International,Medi-Span Generic Product Identifier.,1999/12/30 12:00:00,2013/10/21 12:00:00,2013/10/21 03:31:15,,UV
2.16.840.1.113883.6.69,ndc,National Drug Codes System,CAPT William A.,Hess,masked,,William A. Hess,Food and Drug Administration10903 New Hampshire AveWO32-Room 4152Silver Spring MD 20993-0002,301-796-8494,masked,Pharmacist,FDA Data Standards Council,Food and Drug Administration10903 New Hampshire AveWO32-Room 4152Silver Spring MD 20993-0002,301-796-8494,william.hess@fda.hhs.gov,http://www.fda.gov/ForIndustry/DataStandards/default.htm,,,Int,,,6,Complete,,,National Drug Codes System (which includes both the National Drug Codes (NDC) and the National Health Related Item Codes (NHRIC)).,1899/12/30 12:00:27,2009/10/14 12:00:00,2011/11/21 01:58:55,,UV
2.16.840.1.113883.6.70,MEDR,MEDR,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.6.163,6,Rejected,,,"Medical Dictionary for Drug Regulatory Affairs (MEDuplicate entry, request for OID assignment rejected.  See replacedBy for the correct OID.",1899/12/30 12:00:27,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.6.71,whoDDDrugCode,WHO Drug Dictionary Drug Code,Magnus,Wallberg,masked,,Magnus Wallberg,Box 1051 SE-751 40 UPPSALA SWEDEN ,+46 18 65 60 60,masked,Technology Evangelist,Uppsala Monitoring Centre,Uppsala Monitoring CentreBox 1051 SE-751 40 UPPSALA SWEDEN ,+46 18 65 60 60,info@who-umc.org,http://www.who-umc.org/,SDO,,Int,,,6,Complete,,HL7 International,"The Drug Code is the unique identifier of an entry in the B-format of the WHO Drug Dictionary. It consists of the 6 digit Drug Record Number identifying the base substance, the 2 digit Sequence 1 identifying the Salt/Esther form and the 3 digit Sequence 2 that identifies trade names or synonym names for a generic name.",1999/12/30 12:00:00,2022/10/25 12:00:00,2022/10/25 08:36:43,,UV
2.16.840.1.113883.6.72,W4,W4,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,WHO rec# code with ASTM extension,1899/12/30 12:00:27, , ,,UV
2.16.840.1.113883.6.73,whoATC,WHO Anatomical Therapeutic Chemical classification,Harold,Solbrig,masked,,Ola Strandberg,Box 1051SE-751 40 UppsalaSweden,+46 18 65 60 60,masked,Vendor Liaison Officer,World Health Organization,,,ola.strandberg@umc-products.com,http://www.who-umc.org/,SDO,,Int,14,,6,Complete,,,"WHO ATC, Anatomical Therapeutic Chemical classification. The classification system divides drugs into different groups according to the organ or system on which they act and/or their therapeutic and chemical characteristics. It contains several subsets.",1999/12/30 12:00:00,2011/02/23 12:00:00,2011/02/23 09:58:51,,UV
2.16.840.1.113883.6.74,art,ART,,,masked,,,,,masked,,,,,,http://www.who-umc.org/,,,Pxy,,,6,Complete,,,"WHO Adverse Reaction Terms, English language.  http://www.umc-products.com/graphics/3149.pdf",1899/12/30 12:00:27,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.6.75,UMD,UMD,,,masked,,,,,masked,,,,,,,,,Int,,,6,Pending,,,MDNS,1899/12/30 12:00:27, , ,,UV
